4120,1995142,1691090
4130,1978375,1684684
4140,1924214,1698088
4150,1766628,2068094
4160,1845721,1871843
4170,1837124,1712563
4180,2047611,1688947
4190,1823895,1903134
4200,1751661,1944362
4210,1989576,1804925
4220,2033336,1789594
4230,1652389,1823370
4240,1654914,2040521
4250,1849972,1866576
4260,2016287,1838978
4270,1911010,1820410
4280,2172227,1988558
4290,1596275,1935544
4300,1959473,1849800
4310,1858353,1822963
4320,1811738,2060168
4330,1787781,1960308
4340,1853256,1850777
4350,1969971,1828555
4360,1648569,2048573
4370,1721263,2108107
4380,1985296,1887428
4390,1833909,1917746
4400,1868042,2092191
4410,1934616,1989534
4420,2043956,1981414
4430,1937164,1982898
4440,1994410,2100162
4450,2027195,1967462
4460,2198413,2002732
4470,2413980,1988593
4480,1868394,2260497
4490,1941735,2142639
4500,1973535,2034497
4510,1821023,1983932
4520,1861457,2307890
4530,2351418,2104385
4540,2319399,2058543
4550,1815565,2067063
4560,1912133,2366457
4570,2071695,2092820
4580,2199523,2059670
4590,2186507,2244081
4600,2252681,2353259
4610,2707509,2192990
4620,2286152,2119864
4630,2147237,2383724
4640,2096937,2174228
4650,2198884,2121048
4660,2312540,2160915
4670,2461425,2526098
4680,2540367,2176158
4690,2310071,2212767
4700,2285273,2394812
4710,2419472,2268821
4720,2624934,2157258
4730,2254692,2237848
4740,2540868,2610300
4750,2078317,2256875
4760,2165262,2332601
4770,2411658,2354286
4780,2676810,2266956
4790,3173321,2258341
4800,2658641,2404599
4810,2321546,2534423
4820,2349018,2292276
4830,2493127,2269063
4840,2307115,2312111
4850,2244387,2291320
4860,2506006,2287351
4870,2412860,2625294
4880,2472371,7396667
4890,2388688,3331292
4900,2246301,2715051
4910,2513219,2761789
4920,2201604,2668128
4930,2063079,2673040
4940,2246004,3684777
4950,1972607,3122075
4960,2108930,2510848
4970,1908181,2626920
4980,2461433,2874031
4990,2360936,2821148
5000,2476837,2932992
5010,2362281,2484187
5020,2707158,2532740
5030,2384659,3023294
5040,2657991,2487611
5050,2547292,2507015
5060,2515275,2832479
5070,2841087,2601383
5080,2717537,2545797
5090,2533545,2907703
5100,2626360,2558176
5110,2419562,2503570
5120,3000644,3034790
5130,2894349,2594382
5140,3133186,2642489
5150,2839518,2984389
5160,2920417,2667722
5170,3186881,2677859
5180,3405310,2927467
5190,3665799,2640430
5200,3017686,2730006
5210,2883702,2863002
5220,3162659,2685952
5230,3292215,2845717
5240,3060243,2959662
5250,2580264,2709732
5260,3037877,2920489
5270,3154186,2846921
5280,3020700,2872771
5290,3319557,3030034
5300,3368534,2816647
5310,2776790,2947086
5320,2868769,2923311
5330,3413100,2780367
5340,3120503,2893668
5350,3233341,3185883
5360,3200481,2776884
5370,3349495,3066644
5380,2746312,3022591
5390,3090311,2877502
5400,3488413,3259593
5410,3100133,2893793
5420,3126705,2938721
5430,3209614,3183343
5440,3119931,2934783
5450,2978062,3053178
5460,2850023,3050578
5470,2827370,2925439
5480,2952090,3207343
5490,2535809,2944457
5500,2959216,3060682
5510,3332257,3298715
5520,3119176,3044275
5530,3135715,3189532
5540,2985911,3049025
5550,2959382,3077112
5560,3505203,3286947
5570,2836692,3033170
5580,3046155,3311455
5590,3223008,3164007
5600,3352545,3036515
5610,3150245,3471242
5620,3095143,3134807
5630,3021334,3382577
5640,3377081,3239596
5650,2858060,3187516
5660,3044840,3602306
5670,2698667,3155927
5680,3237478,3419874
5690,3425949,3227618
5700,3909999,3197516
5710,3456529,3634798
5720,3497485,3259673
5730,4580242,3612878
5740,4001220,3269615
5750,3918968,3386421
5760,2900345,3359134
5770,3944819,3205833
5780,2954587,3673481
5790,3357800,3262481
5800,3519991,3739025
5810,3227207,3351238
5820,3459064,3565878
5830,3369247,3461269
5840,3378600,3512414
5850,3762277,3589409
5860,3537723,3321489
5870,3559756,3838927
5880,3422783,3342454
5890,3062080,3717189
5900,3807466,3504281
5910,3115032,3508364
5920,3989001,3786101
5930,3743383,3522144
5940,3641122,3797932
5950,3247452,3470589
5960,3317691,3959422
5970,3246208,3538772
5980,4111564,3836213
5990,3541092,3550909
6000,3044728,3741272
6010,3725721,3606114
6020,3355608,3727509
6030,3360194,3805315
6040,3730266,3677301
6050,4277523,3829924
6060,3232186,3625877
6070,3483955,4012510
6080,3511061,3613616
6090,4004951,4017594
6100,3114347,3632460
6110,3176518,3996420
6120,2646596,3698273
6130,3764443,4005247
6140,3487768,3712053
6150,4373901,4005678
6160,4523690,3805627
6170,4658591,4014421
6180,4653616,3820479
6190,4756613,4015625
6200,4670029,4060161
6210,4402290,4011798
6220,4395364,4104855
6230,4532357,3987492
6240,5050096,4081213
6250,5067714,4064540
6260,4620614,3881999
6270,4596885,4044316
6280,4862780,3840219
6290,4767544,3936146
6300,4169866,4096525
6310,5488309,4085480
6320,3841817,3862515
6330,3715658,3950466
6340,4674730,3841466
6350,4868328,4085813
6360,4943087,4519440
6370,4301996,4059309
6380,5017584,4176215
6390,5796070,4318343
6400,4465942,4258405
6410,4998064,4112337
6420,5562078,4153751
6430,4811301,4205547
6440,5470032,4264987
6450,5845716,4238040
6460,4913513,4224617
6470,4710728,4340397
6480,5390251,4351513
6490,5178562,4356981
6500,6188781,4824789
6510,5606903,5541266
6520,6227466,4491774
6530,4807785,8339175
6540,5320761,7515364
6550,5396012,6384850
6560,4969407,5625628
6570,4266067,6053473
6580,5588406,5511837
6590,6420150,5838796
6600,4657287,5890404
6610,4470326,4694440
6620,5254107,4456894
6630,5682639,4530334
6640,4887035,4563882
6650,4193343,4422896
6660,4512544,4502108
6670,4574164,5043988
6680,4689322,4793425
6690,4443475,4654822
6700,5059443,5155906
6710,4763653,4647764
6720,5128265,4580387
6730,4864528,4590757
6740,4673990,4808556
6750,5104086,4876366
6760,5018902,5098609
6770,5010968,4788995
6780,4735180,4781387
6790,4702846,4749589
6800,5683224,4969671
6810,5242612,4661367
